,model,dms_id,accuracy,precision,recall,f1,mcc,n
242,ProtSSN_k10_h768,ACE2_HUMAN_Chan_2020,0.6041385515069726,0.6039603960396039,0.6039603960396039,0.6039603960396039,0.2082769428021939,2223
243,ProtSSN_k10_h1280,ACE2_HUMAN_Chan_2020,0.5798470535312641,0.5796579657965797,0.5796579657965797,0.5796579657965797,0.15969393701960125,2223
244,ProtSSN_k20_h512,ACE2_HUMAN_Chan_2020,0.5906432748538012,0.5904590459045904,0.5904590459045904,0.5904590459045904,0.18128638403408687,2223
245,ProtSSN_k20_h768,ACE2_HUMAN_Chan_2020,0.5870445344129555,0.5868586858685868,0.5868586858685868,0.5868586858685868,0.17408890169592497,2223
246,ProtSSN_k20_h1280,ACE2_HUMAN_Chan_2020,0.5978407557354926,0.5976597659765976,0.5976597659765976,0.5976597659765976,0.1956813487104106,2223
247,ProtSSN_k30_h512,ACE2_HUMAN_Chan_2020,0.5825461088618983,0.5823582358235824,0.5823582358235824,0.5823582358235824,0.16509204877322264,2223
248,ProtSSN_k30_h768,ACE2_HUMAN_Chan_2020,0.581646423751687,0.5814581458145814,0.5814581458145814,0.5814581458145814,0.16329267818868218,2223
249,ProtSSN_k30_h1280,ACE2_HUMAN_Chan_2020,0.5834457939721097,0.5832583258325833,0.5832583258325833,0.5832583258325833,0.1668914193577631,2223
250,ProtSSN_ensemble,ACE2_HUMAN_Chan_2020,0.586144849302744,0.585958595859586,0.585958595859586,0.585958595859586,0.1722895311113845,2223
251,SaProt_650M_AF2,ACE2_HUMAN_Chan_2020,0.6158344579397211,0.6156615661566157,0.6156615661566157,0.6156615661566157,0.23166876040121998,2223
252,SaProt_35M_AF2,ACE2_HUMAN_Chan_2020,0.5807467386414755,0.5805580558055805,0.5805580558055805,0.5805580558055805,0.1614933076041417,2223
253,PoET,ACE2_HUMAN_Chan_2020,0.5888439046333783,0.5886588658865887,0.5886588658865887,0.5886588658865887,0.17768764286500593,2223
254,MULAN_small,ACE2_HUMAN_Chan_2020,0.5294646873594242,0.5292529252925292,0.5292529252925292,0.5292529252925292,0.05892918428533501,2223
